Datetime,-,UK,IN,US,HK,
1900-12-27 04:00:00,98,8,38,26,,
1900-12-27 18:00:00,110,32,28,32,,
1900-01-02 14:00:00,167,62,27,34,,
1900-12-31 11:00:00,37,9,11,4,,
1900-12-27 14:00:00,244,37,54,48,,
1900-12-31 01:00:00,144,14,9,35,1,
1900-01-03 01:00:00,184,10,3,50,1,
1900-12-26 13:00:00,5,2,3,3,,
1900-01-03 21:00:00,70,18,,16,,
1900-12-28 14:00:00,125,17,24,27,,
1900-01-01 04:00:00,76,3,15,5,1,
1900-01-01 18:00:00,163,27,9,104,,
1900-01-02 18:00:00,131,63,6,38,,
1900-01-02 04:00:00,147,9,31,73,,
1900-12-31 21:00:00,114,10,2,17,,
1900-01-04 00:00:00,63,19,2,31,,
1900-12-29 17:00:00,947,83,3,336,,
1900-12-29 11:00:00,101,29,19,14,,
1900-01-04 10:00:00,102,40,44,10,1,
1900-12-26 18:00:00,68,62,26,15,,
1900-12-27 19:00:00,241,33,15,34,,
1900-01-03 20:00:00,100,28,4,19,2,
1900-12-27 15:00:00,168,15,54,42,1,
1900-12-27 05:00:00,104,8,30,14,,
1900-12-30 07:00:00,76,18,16,16,,
1900-12-30 17:00:00,109,23,12,23,,
1900-01-03 00:00:00,160,22,3,58,,
1900-01-01 07:00:00,94,6,27,6,,
1900-12-31 08:00:00,90,19,30,13,,
1900-01-02 05:00:00,136,5,41,56,,
1900-01-02 15:00:00,172,58,42,42,1,
1900-12-31 18:00:00,199,27,25,21,1,
1900-01-02 19:00:00,160,49,3,37,,
1900-12-29 06:00:00,59,6,28,6,,
1900-12-10 21:00:00,,,,,,1
1900-12-29 18:00:00,871,130,6,310,2,
1900-01-04 11:00:00,70,27,24,6,,
1900-12-29 12:00:00,135,24,14,59,1,
1900-01-04 01:00:00,131,16,7,22,,
1900-12-28 11:00:00,115,34,23,11,1,
1900-12-28 05:00:00,113,29,24,17,,
1900-01-03 15:00:00,147,30,25,23,,
1900-12-27 16:00:00,142,19,20,35,,
1900-01-03 19:00:00,85,31,9,18,,
1900-12-28 02:00:00,99,9,17,24,,
1900-12-30 16:00:00,247,34,14,53,,
1900-12-26 15:00:00,43,7,29,3,1,
1900-12-30 06:00:00,113,10,12,43,,
1900-12-28 07:00:00,65,14,23,17,,
1900-12-27 12:00:00,127,31,22,22,,
1900-12-28 12:00:00,114,32,18,15,,
1900-01-02 06:00:00,93,5,27,43,1,
1900-12-31 19:00:00,150,26,5,26,1,
1900-01-02 08:00:00,119,61,27,15,,
1900-12-31 09:00:00,69,29,22,7,,
1900-12-29 13:00:00,220,27,22,82,,
1900-12-29 07:00:00,103,19,25,10,,
1900-12-28 10:00:00,82,36,15,9,1,
1900-01-01 06:00:00,90,9,21,9,,
1900-01-03 14:00:00,113,27,31,21,,
1900-12-30 09:00:00,92,41,29,7,,
1900-12-26 14:00:00,71,11,29,8,,
1900-01-03 18:00:00,103,29,12,17,,
1900-01-04 08:00:00,72,20,26,8,,
1900-12-29 19:00:00,622,51,7,207,2,
1900-12-30 19:00:00,111,30,11,25,1,
1900-12-31 16:00:00,80,7,14,10,,
1900-12-31 06:00:00,91,6,20,15,,
1900-01-02 07:00:00,96,10,27,30,,
1900-12-27 17:00:00,156,41,9,42,,
1900-01-02 09:00:00,83,58,38,21,,
1900-12-27 13:00:00,159,36,42,46,2,
1900-01-01 21:00:00,179,12,,66,,
1900-01-01 15:00:00,159,23,31,83,1,
1900-01-01 01:00:00,81,7,7,9,,
1900-12-30 08:00:00,137,19,14,28,,
1900-12-26 21:00:00,204,36,1,69,,
1900-12-30 18:00:00,204,46,17,53,,
1900-01-03 13:00:00,138,43,39,8,,
1900-12-29 14:00:00,290,58,9,82,2,
1900-12-29 20:00:00,458,45,2,129,1,
1900-01-04 09:00:00,72,43,31,4,,
1900-01-02 10:00:00,81,44,20,8,,
1900-12-31 07:00:00,105,15,30,7,,
1900-12-27 02:00:00,128,12,21,46,,
1900-01-02 00:00:00,138,11,6,91,,
1900-12-31 17:00:00,138,12,10,21,,
1900-01-03 17:00:00,139,60,22,19,,
1900-01-03 07:00:00,63,15,21,9,,
1900-12-27 22:00:00,98,28,2,16,,
1900-01-01 20:00:00,151,19,2,56,,
1900-01-01 14:00:00,81,11,10,37,,
1900-01-02 20:00:00,117,31,3,27,2,
1900-01-01 00:00:00,65,7,2,9,,
1900-12-26 20:00:00,322,36,4,109,,
1900-01-04 06:00:00,56,10,50,6,,
1900-12-30 11:00:00,116,30,21,28,,
1900-12-30 21:00:00,5,3,,6,,
1900-12-29 21:00:00,371,52,2,141,2,
1900-12-29 15:00:00,309,79,23,90,,
1900-12-27 03:00:00,122,8,33,38,1,
1900-12-31 04:00:00,155,7,21,22,,
1900-01-02 01:00:00,153,8,11,84,,
1900-01-02 11:00:00,122,75,22,20,,
1900-01-03 06:00:00,60,11,21,18,,
1900-12-30 01:00:00,217,16,3,71,1,
1900-01-03 12:00:00,138,23,36,22,,
1900-12-27 23:00:00,81,23,1,22,,
1900-01-03 16:00:00,142,19,39,19,,
1900-01-01 03:00:00,62,2,27,6,,
1900-01-01 23:00:00,194,16,2,91,,
1900-01-01 09:00:00,70,30,26,5,,
1900-01-02 21:00:00,113,31,3,27,,
1900-12-31 14:00:00,120,16,18,19,,
1900-12-29 22:00:00,366,41,2,112,1,
1900-01-04 07:00:00,63,11,35,14,,
1900-12-26 23:00:00,138,18,5,34,,
1900-12-30 20:00:00,155,71,5,35,,
1900-12-27 20:00:00,121,17,7,29,,
1900-12-28 13:00:00,148,28,29,13,,
1900-12-27 00:00:00,139,14,5,39,,
1900-12-30 00:00:00,265,36,3,78,1,
1900-12-30 10:00:00,110,35,15,18,,
1900-01-03 05:00:00,70,13,20,14,,
1900-01-03 11:00:00,130,57,30,13,1,
1900-12-28 00:00:00,59,15,4,14,,
1900-01-01 08:00:00,76,11,28,10,,
1900-01-01 02:00:00,79,47,6,7,,
1900-01-02 02:00:00,147,4,8,71,,
1900-12-31 15:00:00,120,13,19,14,1,
1900-12-27 10:00:00,107,43,36,11,,
1900-12-31 05:00:00,126,9,26,20,,
1900-01-02 22:00:00,183,36,1,50,,
1900-12-28 03:00:00,110,6,25,40,,
1900-12-28 15:00:00,49,16,14,12,,
1900-12-28 08:00:00,108,38,18,15,,
1900-01-04 04:00:00,49,4,19,11,,
1900-12-29 23:00:00,267,36,,112,,
1900-01-01 22:00:00,134,15,3,52,,
1900-01-03 04:00:00,107,12,16,33,,
1900-12-27 21:00:00,93,16,2,23,,
1900-12-30 23:00:00,96,25,,30,,
1900-01-04 14:00:00,103,30,22,11,,
1900-12-26 22:00:00,172,27,1,49,,
1900-12-30 03:00:00,207,19,14,84,,
1900-01-03 10:00:00,78,46,23,10,,
1900-12-30 13:00:00,187,50,24,38,,
1900-12-31 22:00:00,86,14,2,12,,
1900-01-02 23:00:00,207,22,2,61,,
1900-12-27 11:00:00,117,35,33,24,,
1900-12-27 01:00:00,162,17,11,60,,
1900-12-31 12:00:00,81,22,22,15,,
1900-12-31 02:00:00,189,15,17,27,1,
1900-01-02 03:00:00,165,6,33,67,,
1900-01-01 11:00:00,20,2,,9,,
1900-01-01 17:00:00,214,28,7,82,,
1900-12-28 06:00:00,74,11,23,21,,
1900-01-03 09:00:00,79,34,29,6,,
1900-12-30 02:00:00,202,17,11,83,3,
1900-01-03 03:00:00,126,8,23,42,1,
1900-12-28 01:00:00,99,10,14,20,,
1900-12-29 08:00:00,106,29,22,3,,
1900-01-04 05:00:00,50,42,25,9,,
1900-12-30 12:00:00,197,56,21,40,1,
1900-12-26 17:00:00,76,8,29,20,1,
1900-12-30 22:00:00,140,30,2,39,,
1900-12-31 23:00:00,96,10,,7,,
1900-01-02 12:00:00,165,93,18,19,,
1900-12-31 13:00:00,194,23,35,12,,
1900-01-02 16:00:00,171,66,19,49,,
1900-01-03 23:00:00,98,15,,27,,
1900-12-28 04:00:00,132,10,25,60,,
1900-12-27 08:00:00,119,26,27,14,,
1900-12-31 03:00:00,185,10,28,22,,
1900-12-27 06:00:00,105,58,50,34,1,
1900-01-01 16:00:00,184,32,17,88,,
1900-01-01 10:00:00,75,22,16,5,,
1900-12-30 15:00:00,188,44,22,42,1,
1900-12-28 09:00:00,24,10,3,4,,
1900-01-03 02:00:00,127,9,13,30,1,
1900-12-30 05:00:00,122,14,23,48,,
1900-01-03 08:00:00,71,19,28,10,,
1900-12-29 09:00:00,93,41,14,3,,
1900-01-04 12:00:00,52,15,18,6,,
1900-12-26 16:00:00,25,1,3,2,,
1900-01-04 02:00:00,85,2,11,19,,
1900-12-31 00:00:00,136,19,6,31,1,
1900-01-02 13:00:00,145,57,26,24,,
1900-12-27 09:00:00,103,35,26,13,,
1900-12-31 20:00:00,169,14,8,24,,
1900-01-02 17:00:00,142,46,22,31,,
1900-12-31 10:00:00,17,8,4,2,,
1900-01-03 22:00:00,199,23,1,39,,
1900-12-27 07:00:00,137,21,34,27,,
1900-01-01 19:00:00,205,24,17,107,,
1900-01-01 05:00:00,55,4,28,8,,
1900-12-26 19:00:00,486,59,6,152,2,
1900-12-29 16:00:00,187,43,15,71,,
1900-01-04 13:00:00,85,23,28,12,,
1900-12-30 04:00:00,202,16,12,77,,
1900-12-30 14:00:00,229,50,15,48,1,
1900-12-29 10:00:00,83,29,15,5,1,
1900-01-04 03:00:00,79,3,28,25,,
